รหัสสินค้า,ชื่อเมนู,หมวดหมู่,ราคาขาย,ต้นทุน
C01,เอสเพรสโซ่,กาแฟ,55,18
C02,อเมริกาโน่เย็น,กาแฟ,60,20
C03,ลาเต้เย็น,กาแฟ,70,28
C04,คาปูชิโน่,กาแฟ,70,28
C05,มอคค่าเย็น,กาแฟ,75,32
C06,กาแฟโบราณ (เอสเย็น),กาแฟ,45,22
N01,ชาไทยเย็น,เครื่องดื่มอื่น,60,34
N02,มัทฉะลาเต้,เครื่องดื่มอื่น,85,40
N03,โกโก้เย็น,เครื่องดื่มอื่น,65,30
N04,น้ำส้มคั้นสด,เครื่องดื่มอื่น,50,26
B01,ครัวซองต์เนยสด,เบเกอรี่,65,35
B02,บราวนี่,เบเกอรี่,55,22
B03,เค้กกล้วยหอม,เบเกอรี่,45,18
B04,คุกกี้ช็อกโกแลตชิพ,เบเกอรี่,35,12
