วันที่,เวลา,รหัสสินค้า,ชื่อเมนู,จำนวน,ราคาต่อหน่วย,ยอดรวม,ช่องทาง,รหัสสมาชิก
2026-06-01,07:15,C04,คาปูชิโน่,1,70,70,หน้าร้าน,
2026-06-01,07:20,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-01,08:23,N03,โกโก้เย็น,1,65,65,หน้าร้าน,
2026-06-01,08:43,C06,กาแฟโบราณ (เอสเย็น),1,45,45,หน้าร้าน,
2026-06-01,08:55,N01,ชาไทยเย็น,3,60,180,หน้าร้าน,
2026-06-01,09:26,C06,กาแฟโบราณ (เอสเย็น),2,45,90,หน้าร้าน,
2026-06-01,10:05,N03,โกโก้เย็น,2,65,130,Grab,
2026-06-01,10:07,C03,ลาเต้เย็น,1,70,70,Grab,
2026-06-01,10:17,N03,โกโก้เย็น,1,65,65,หน้าร้าน,M001
2026-06-01,10:35,B02,บราวนี่,1,55,55,หน้าร้าน,
2026-06-01,10:37,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,M011
2026-06-01,12:45,C04,คาปูชิโน่,3,70,210,หน้าร้าน,
2026-06-01,13:15,C02,อเมริกาโน่เย็น,2,60,120,หน้าร้าน,M003
2026-06-01,15:36,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,M012
2026-06-01,17:34,N03,โกโก้เย็น,1,65,65,หน้าร้าน,
2026-06-01,17:48,C03,ลาเต้เย็น,2,70,140,หน้าร้าน,M020
2026-06-02,07:46,C04,คาปูชิโน่,2,70,140,LINE MAN,
2026-06-02,07:51,B02,บราวนี่,1,55,55,Grab,
2026-06-02,08:03,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M017
2026-06-02,08:25,B03,เค้กกล้วยหอม,1,45,45,Grab,
2026-06-02,08:28,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-02,08:38,C02,อเมริกาโน่เย็น,2,60,120,หน้าร้าน,
2026-06-02,09:04,B02,บราวนี่,1,55,55,Grab,
2026-06-02,09:59,N03,โกโก้เย็น,1,65,65,หน้าร้าน,
2026-06-02,09:59,N03,โกโก้เย็น,1,65,65,หน้าร้าน,
2026-06-02,10:37,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
